"ID","gender","age_group","age","edu","work_status","salary_or_ind","no_prof_activity","CSP","region","departement","commune_type","region_uda5","situation_dom","n_pers_dom","maladies1","maladies2","maladies3","maladies4","maladies5","maladies6","maladies7","maladies8","tf_femalemosq","example_dce","choice1","certainty1","choice2","certainty2","choice3","certainty3","choice4","certainty4","choice5","certainty5","choice6","certainty6","choice7","certainty7","choice8","certainty8","choice9","certainty9","choice10","certainty10","exercise_difficulty","freq_prevention","prev_activity1","prev_activity2","prev_activity3","prev_activity4","prev_activity5","prev_activity6","prev_activity7","prev_activity8","prev_activity9","prev_activity_other","eco_products","ac","hist_mborne","confiance_nat","confiance_reg","disease_prob","disease_fear","gmo_mosquito","housing_type","housing_other","langue","precarity","pregnant","dep_children","chronic_dis","freq_bites_cat","freq_bites_num","diet","diet_other","healthinfo1","healthinfo2","healthinfo3","healthinfo4","healthinfo5","healthinfo6","healthinfo_other","count_prev","activity_gouttieres","activity_pieges","activity_vetements","activity_insecticide","activity_moustiquaires","activity_vidage","activity_spirales","activity_repulsif","activity_recipients","mbd_maladie","mbd_know","confiance","threat","place","edu2","precarity2","age_group2","risk","asc_b_mean","b_part2_mean","b_part3_mean","b_part4_mean","b_freq_mean","b_env2_mean","b_env3_mean","b_se2_mean","b_se3_mean"
"662","Man","18 to 29",23,"Bac+3/4 (Licence, Maîtrise)","Profession intermédiaire (technicien(ne), contremaitre, agent de maitrise, catégorie B de la fonction publique)","Salarié(e)","","CSP+","Ile-de-France","Paris - (75)","Large city (>100 000 inhabitants)","Paris region","En couple","2 personnes","Le chikungunya","La dengue","Le paludisme","Le Zika","","","","","Faux","Non, allez directement aux 10 votes","B",5,"B",8,"A",6,"B",5,"A",8,"A",9,"A",8,"B",9,"A",8,"A",9,2,"Several times a week","Usage de bougies et/ou de spirales anti-moustiques","Utilisation de moustiquaires (sur les fenêtres)","","","","","","","","","Oui","Oui","No or unsure",8,3,5,8,4,"Appartement","","Yes","Yes, often","","No","No","Sometimes","1 to 5 times per week","Vegetarian","","Réseaux sociaux (Facebook, X [ex Twitter], Instagram, WhatsApp)","Professionnels de santé","","","","","",2,"No","No","No","No","Yes","No","Yes","No","No",4,4,5.5,6.5,"Ile-de-France Grande ville (plus de 100 000 habitants)","2–4 years beyond secondary school","Yes",NA,"High exposure",0.230775556618547,-0.139873592008275,-0.626840700190463,0.881189567784511,0.483704685215167,0.803375239272998,-0.0240820499626366,-0.0820625331374499,-0.415886609190935
"663","Woman","18 to 29",26,"Bac+2 (BTS ou autre)","Employé(e), Agent de la fonction publique (catégorie C)","Salarié(e)","","CSP-","Hauts-de-France","Nord - (59)","Village (<2 000 inhabitants)","North East","Seul","3 personnes","Le paludisme","","","","","","","","Vrai","Non, allez directement aux 10 votes","A",9,"A",8,"A",9,"B",9,"A",6,"B",9,"B",9,"B",9,"B",5,"A",9,3,"Several times a week","Utilisation de moustiquaires (sur les fenêtres)","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Usage des répulsifs cutanés","","","","","","","","Oui","Non","No or unsure",4,5,9,9,5,"Maison individuelle","","No","Yes, often","No","Yes","No","Often","More than 10 times per week","Omnivore","","Professionnels de santé","Votre propre recherche par internet","","","","","",3,"No","No","No","Yes","Yes","No","No","Yes","No",1,1,4.5,9,"Hauts-de-France Village / Zone rurale (moins de 2 000 habitants)","2–4 years beyond secondary school","Yes",NA,"Low exposure",-1.0005531191454,-1.31192279136208,-1.5771270107734,-1.59704022076697,0.182844436273871,-1.86698678820358,-0.6081199030746,-1.54152956481892,-0.888829058893857
"664","Man","50 to 59",57,"CAP/BEP (ou autre diplôme technique)","Employé(e), Agent de la fonction publique (catégorie C)","Salarié(e)","","CSP-","Occitanie","Lot - (46)","Village (<2 000 inhabitants)","South West","En couple","2 personnes","Le chikungunya","La dengue","Le paludisme","","","","","","Faux","Oui, montrez-moi un exemple","B",5,"B",5,"A",5,"B",4,"B",10,"B",10,"B",10,"B",10,"A",5,"B",8,7,"Several times a week","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Utilisation de moustiquaires (sur les fenêtres)","Usage des pièges à moustiques","Usage de bougies et/ou de spirales anti-moustiques","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Le port des vêtements longs, amples et clairs","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","","Oui","Oui","No or unsure",9,9,6,6,8,"Maison individuelle","","No","No, never","","No","Yes","Often","1 to 5 times per week","Reduced-meat diet","","Les médias (journaux, magazines, télévision, radio)","Professionnels de santé","Votre propre recherche par internet","","","","",7,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes",3,3,9,6,"Occitanie Village / Zone rurale (moins de 2 000 habitants)","Lower than secondary school","No",NA,"High exposure",1.25399183322306,0.799679480332191,0.808955150895216,1.05996499394003,-0.211518691901044,-2.66411546850244,-2.10103091005854,-0.273564487688878,-2.78341218410612
"665","Man","30 to 39",39,"Bac+5 (Master, écoles d'ingénieurs, écoles d'arts, DEA, DESS, etc.)","Cadre ou profession libérale (cadre supérieur, cadre de direction, catégorie A de la fonction publique)","Indépendant(e)","","CSP+","Occitanie","Gard - (30)","Medium-sized city (between 20 000 and 100 000 inhabitants)","South East","En famille","4 personnes","Le chikungunya","Le paludisme","La dengue","Le Zika","","","","","Faux","Oui, montrez-moi un exemple","A",2,"B",4,"A",5,"B",6,"B",6,"B",8,"B",7,"B",8,"A",4,"B",5,2,"Several times a week","Usage de bougies et/ou de spirales anti-moustiques","Utilisation de moustiquaires (sur les fenêtres)","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","","","","","","","Oui","Oui","No or unsure",5,5,5,5,5,"Maison individuelle","","Yes","No, never","","Yes","No","Sometimes","1 to 5 times per week","Omnivore","","Famille","Professionnels de santé","Votre propre recherche par internet","","","","",4,"No","No","No","No","Yes","Yes","Yes","No","Yes",4,4,5,5,"Occitanie Ville (entre 20 000 et 100 000 habitants)","5 or more years beyond secondary school","No",NA,"High exposure",1.32705668779109,0.946665601683227,0.841717032220447,1.19363092203615,-0.292487158952706,-3.2017359656703,-2.25075878872532,0.0234698860411096,-2.12393033491646
"666","Man","70 to 79",77,"Bac+5 (Master, écoles d'ingénieurs, écoles d'arts, DEA, DESS, etc.)","Retraité(e)","","","Inactifs","Nouvelle-Aquitaine","Pyrénées-Atlantiques - (64)","Small town (between 2.000 and 20.000 inhabitants)","South West","Seul","1 personne","La dengue","Le paludisme","","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","A",8,"B",6,"B",7,"A",6,"B",8,"B",8,"A",7,"B",7,"B",8,"B",7,7,"A few times","Le port des vêtements longs, amples et clairs","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","","","","","","Non","No or unsure",8,7,4,4,5,"Maison mitoyenne","","Yes","No, never","","No","Yes","Never or almost never","Never","Reduced-meat diet","","Professionnels de santé","Votre propre recherche par internet","","","","","",4,"Yes","No","Yes","No","No","Yes","No","No","Yes",2,2,7.5,4,"Nouvelle-Aquitaine Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","5 or more years beyond secondary school","No",NA,"High exposure",0.777220515264104,-0.516668214735912,-0.628651201958609,-0.563075469749928,-0.800990483450474,-1.03685420029456,-0.933544909090922,0.608386689420332,-0.0174516484280836
"667","Man","60 to 69",60,"Bac+3/4 (Licence, Maîtrise)","Retraité(e)","","","Inactifs","Grand Est","Bas-Rhin - (67)","Large city (>100 000 inhabitants)","North East","Seul","1 personne","La dengue","Le chikungunya","Le paludisme","Le Zika","","","","","Faux","Non, allez directement aux 10 votes","B",7,"B",7,"B",7,"A",7,"B",8,"B",8,"A",7,"B",9,"A",7,"A",7,4,"A few times","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Le port des vêtements longs, amples et clairs","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Utilisation de moustiquaires (sur les fenêtres)","","","","","","Oui","Non","No or unsure",5,8,6,6,6,"Maison mitoyenne","","Yes","No, never","","No","Yes","Sometimes","Less than once a week","Omnivore","","Les médias (journaux, magazines, télévision, radio)","Professionnels de santé","","","","","",5,"No","No","Yes","Yes","Yes","Yes","No","No","Yes",4,4,6.5,6,"Grand Est Grande ville (plus de 100 000 habitants)","2–4 years beyond secondary school","No",NA,"High exposure",1.02763767200462,0.354100940670889,0.199825934409052,0.829892257911428,-0.270613383328501,0.667739895674664,-0.565924451675562,1.03024135602806,-0.120547443848857
"668","Man","40 to 49",40,"Bac (général, pro et technologique)","Ouvrier(e)","Salarié(e)","","CSP-","Hauts-de-France","Nord - (59)","Small town (between 2.000 and 20.000 inhabitants)","North East","En famille","4 personnes","Le chikungunya","Le Zika","Le paludisme","La dengue","","","","","Faux","Oui, montrez-moi un exemple","B",8,"A",8,"B",7,"B",8,"A",9,"B",8,"B",8,"A",6,"B",7,"A",8,3,"Several times a week","Usage des pièges à moustiques","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Utilisation de moustiquaires (sur les fenêtres)","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Usage de bougies et/ou de spirales anti-moustiques","Usage des répulsifs cutanés","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","Oui","Non","No or unsure",6,8,4,7,9,"Maison mitoyenne","","No","Yes, sometimes","","Yes","No","Never or almost never","Never","Omnivore","","Les médias (journaux, magazines, télévision, radio)","Professionnels de santé","Votre propre recherche par internet","","","","",8,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",4,4,7,5.5,"Hauts-de-France Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","Equal to secondary school","Yes",NA,"Low exposure",-2.16393195417604,-1.52749597959003,-0.773778999208639,-2.18393463092941,0.0910826107530728,-0.305103189636212,0.632379702199185,-2.3126817382715,-1.68407504392379
"669","Woman","60 to 69",67,"Brevet de collèges ou BEPC","Retraité(e)","","","Inactifs","Hauts-de-France","Pas-de-Calais - (62)","Medium-sized city (between 20 000 and 100 000 inhabitants)","North East","Seul","1 personne","Le chikungunya","","","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","A",4,"A",5,"A",4,"A",4,"A",4,"A",4,"A",4,"A",4,"A",4,"A",4,10,"A few times","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","","","","","","","","","","Oui","Non","No or unsure",10,10,1,1,4,"Maison mitoyenne","","No","No, never","","No","No","Never or almost never","Never","Reduced-meat diet","","Famille","","","","","","",1,"No","No","No","Yes","No","No","No","No","No",1,1,10,1,"Hauts-de-France Ville (entre 20 000 et 100 000 habitants)","Lower than secondary school","No",NA,"Low exposure",-1.68987919818695,-0.732415500967276,-0.796184962256262,-0.920352718625053,0.450848873806186,0.960537446520384,0.815322788153244,-0.350232997588669,0.494501347072282
"670","Woman","60 to 69",61,"Bac+2 (BTS ou autre)","Sans activité professionnelle actuelle","","Homme/Femme au foyer","Inactifs","Bourgogne-Franche-Comté","Côte-d'or - (21)","Village (<2 000 inhabitants)","North East","En famille","4 personnes","La dengue","Le paludisme","","","","","","","Faux","Oui, montrez-moi un exemple","A",6,"B",6,"A",5,"B",5,"A",7,"B",7,"B",5,"A",5,"B",7,"B",6,7,"Never","","","","","","","","","","","","Oui","No or unsure",6,6,6,8,6,"Maison individuelle","","No","No, never","","Yes","Yes","Never or almost never","Never","Omnivore","","Professionnels de santé","","","","","","",0,"No","No","No","No","No","No","No","No","No",2,2,6,7,"Bourgogne-Franche-Comté Village / Zone rurale (moins de 2 000 habitants)","2–4 years beyond secondary school","No",NA,"High exposure",-2.45947151653385,-2.0101081728952,-0.982299043855881,-2.41541208439751,-0.0861242862812786,-1.72598178441515,0.351333628363246,-3.23526351952343,-3.05358062917187
"671","Woman","50 to 59",57,"Bac (général, pro et technologique)","Sans activité professionnelle actuelle","","Homme/Femme au foyer","Inactifs","Auvergne-Rhône-Alpes","Drôme - (26)","Small town (between 2.000 and 20.000 inhabitants)","South East","En couple","2 personnes","La dengue","Le paludisme","Le chikungunya","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","B",4,"B",5,"A",5,"B",8,"B",5,"B",7,"B",7,"B",7,"A",4,"B",5,2,"Several times a week","Utilisation de moustiquaires (sur les fenêtres)","","","","","","","","","","","Non","No or unsure",4,5,4,6,6,"Maison individuelle","","No","No, never","No","No","Yes","Sometimes","Less than once a week","Reduced-meat diet","","Professionnels de santé","","","","","","",1,"No","No","No","No","Yes","No","No","No","No",3,3,4.5,5,"Auvergne-Rhône-Alpes Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","Equal to secondary school","No",NA,"High exposure",1.2647375251631,0.814445906846042,0.815940048804488,1.07577685976288,-0.201261462234434,-2.70839384065626,-2.13384211207591,-0.28739569225762,-2.82891166032826
"672","Man","60 to 69",65,"Bac+2 (BTS ou autre)","Retraité(e)","","","Inactifs","Corse","Haute-Corse - (2b)","Village (<2 000 inhabitants)","South East","En famille","4 personnes","Le chikungunya","Le paludisme","Le Zika","La dengue","","","","","Faux","Oui, montrez-moi un exemple","A",8,"A",8,"A",8,"A",7,"B",8,"B",8,"B",8,"B",8,"B",7,"B",7,3,"Several times a week","Utilisation de moustiquaires (sur les fenêtres)","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Usage de bougies et/ou de spirales anti-moustiques","","","","","","Oui","Oui","No or unsure",8,9,5,7,6,"Appartement","","No","No, never","","Yes","Yes","Sometimes","1 to 5 times per week","Reduced-meat diet","","Vos amis, voisins ou autres sources communautaires","Famille","Professionnels de santé","Votre propre recherche par internet","","","",5,"No","No","No","Yes","Yes","Yes","Yes","No","Yes",4,4,8.5,6,"Corse Village / Zone rurale (moins de 2 000 habitants)","2–4 years beyond secondary school","No",NA,"High exposure",0.334741517855317,-0.346296166303316,-0.660728982356963,-1.1200520107926,-0.485325883390981,-2.91270902509037,-1.73949890252754,0.0348337383644173,-0.618319891251672
"673","Woman","30 to 39",38,"Bac+2 (BTS ou autre)","Profession intermédiaire (technicien(ne), contremaitre, agent de maitrise, catégorie B de la fonction publique)","Salarié(e)","","CSP+","Ile-de-France","Seine-Saint-Denis - (93)","Medium-sized city (between 20 000 and 100 000 inhabitants)","Paris region","En couple","3 personnes","Le chikungunya","","","","","","","","Vrai","Oui, montrez-moi un exemple","A",9,"A",8,"A",10,"B",9,"B",7,"B",7,"B",8,"B",7,"B",6,"B",6,1,"Several times a week","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Usage des répulsifs cutanés","","","","","","","","","Oui","Non","No or unsure",6,6,6,8,9,"Appartement","","No","Yes, sometimes","No","Yes","No","Sometimes","1 to 5 times per week","Omnivore","","Professionnels de santé","","","","","","",2,"No","No","No","Yes","No","No","No","Yes","No",1,1,6,7,"Ile-de-France Ville (entre 20 000 et 100 000 habitants)","2–4 years beyond secondary school","Yes",NA,"Medium exposure",0.636802725377767,0.246938717831026,-0.0340862059232959,-0.499224129182574,-0.422935260856434,-3.91116941469964,-2.25739522510721,-0.0735641091353543,-1.11788113057879
"674","Man","60 to 69",60,"Bac+5 (Master, écoles d'ingénieurs, écoles d'arts, DEA, DESS, etc.)","Cadre ou profession libérale (cadre supérieur, cadre de direction, catégorie A de la fonction publique)","Indépendant(e)","","CSP+","Bretagne","Ille-et-Vilaine - (35)","Small town (between 2.000 and 20.000 inhabitants)","North West","Seul","1 personne","Le chikungunya","Le paludisme","La dengue","","","","","","Faux","Oui, montrez-moi un exemple","B",5,"B",2,"A",3,"A",3,"B",5,"A",4,"A",3,"A",6,"B",5,"B",5,5,"Several times a week","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Usage de bougies et/ou de spirales anti-moustiques","","","","","","","Oui","Non","No or unsure",10,10,1,1,2,"Appartement","","No","Yes, sometimes","","No","Yes","Never or almost never","Never","Omnivore","","Les médias (journaux, magazines, télévision, radio)","Votre propre recherche par internet","","","","","",4,"No","No","No","Yes","No","Yes","Yes","No","Yes",3,3,10,1,"Bretagne Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","5 or more years beyond secondary school","Yes",NA,"Low exposure",-0.938186574839838,-0.326878799524883,0.376604779088697,-0.789599779172643,-0.390741688021555,-0.249129907561418,0.180209961897369,-0.358748226559269,-0.993370067721619
"675","Woman","18 to 29",29,"Bac+2 (BTS ou autre)","Employé(e), Agent de la fonction publique (catégorie C)","Salarié(e)","","CSP-","Occitanie","Hérault - (34)","Small town (between 2.000 and 20.000 inhabitants)","South East","En famille","3 personnes","Le chikungunya","La dengue","Le paludisme","Le Zika","","","","","Vrai","Non, allez directement aux 10 votes","A",5,"B",2,"A",5,"B",2,"B",2,"B",5,"B",7,"B",8,"B",1,"B",2,3,"Several times a week","Utilisation de moustiquaires (sur les fenêtres)","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Usage des répulsifs cutanés","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Le port des vêtements longs, amples et clairs","Usage des pièges à moustiques","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","","Non","Oui","No or unsure",4,4,5,7,1,"Maison mitoyenne","","No","Yes, sometimes","No","Yes","No","Often","1 to 5 times per week","Reduced-meat diet","","Famille","Professionnels de santé","Votre propre recherche par internet","","","","",7,"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",4,4,4,6,"Occitanie Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","2–4 years beyond secondary school","Yes",NA,"High exposure",0.704309176972762,0.0396338100556787,0.201082508123181,-0.233760335935879,-0.616821247802039,-3.85873414853055,-2.11172131472584,-0.72469737987406,-2.28195556364862
"676","Man","60 to 69",67,"Bac (général, pro et technologique)","Retraité(e)","","","Inactifs","Provence-Alpes-Côte d'Azur","Var - (83)","Large city (>100 000 inhabitants)","South East","En couple","2 personnes","Le paludisme","La dengue","Le chikungunya","","","","","","Faux","Oui, montrez-moi un exemple","A",9,"A",8,"A",8,"A",8,"A",8,"A",8,"B",8,"A",8,"A",8,"A",8,3,"Several times a week","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Usage de bougies et/ou de spirales anti-moustiques","","","","","","","","Oui","Oui","No or unsure",9,9,3,3,8,"Maison mitoyenne","","Yes","No, never","","No","No","Often","5 to 10 times per week","Reduced-meat diet","","Famille","Professionnels de santé","","","","","",3,"No","No","No","No","No","Yes","Yes","No","Yes",3,3,9,3,"Provence-Alpes-Côte d'Azur Grande ville (plus de 100 000 habitants)","Equal to secondary school","No",NA,"High exposure",-1.99093272816914,-0.982267932770193,-0.853781595838854,-1.04680244386895,0.541466364266457,0.286412548895159,0.729261259158127,-1.27901390871016,-0.498827460787473
"677","Woman","70 to 79",75,"Bac (général, pro et technologique)","Retraité(e)","","","Inactifs","Ile-de-France","Val-de-Marne - (94)","Medium-sized city (between 20 000 and 100 000 inhabitants)","Paris region","En couple","2 personnes","Le paludisme","Le chikungunya","La dengue","","","","","","Faux","Oui, montrez-moi un exemple","A",5,"A",5,"A",5,"A",5,"A",5,"A",5,"A",5,"A",5,"A",6,"A",5,9,"Never","","","","","","","","","","","","Non","No or unsure",8,7,5,7,7,"Maison individuelle","","No","No, never","","No","No","Never or almost never","Never","Reduced-meat diet","","Professionnels de santé","","","","","","",0,"No","No","No","No","No","No","No","No","No",3,3,7.5,6,"Ile-de-France Ville (entre 20 000 et 100 000 habitants)","Equal to secondary school","No",NA,"Medium exposure",-1.59314272212144,-0.624677472045568,-0.803709159601609,-0.837000346505307,0.500878861534829,0.939913396030994,0.749258490270785,-0.190542099170004,0.668560957660574
"678","Man","70 to 79",70,"Bac+2 (BTS ou autre)","Retraité(e)","","","Inactifs","Pays de la Loire","Loire-Atlantique - (44)","Medium-sized city (between 20 000 and 100 000 inhabitants)","North West","En couple","2 personnes","Le paludisme","Le chikungunya","Le Zika","La dengue","","","","","Faux","Non, allez directement aux 10 votes","A",5,"A",7,"A",7,"B",6,"B",6,"B",7,"B",8,"B",6,"B",7,"B",7,7,"A few times","Usage de bougies et/ou de spirales anti-moustiques","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","","","","","","","Oui","Non","No or unsure",7,6,4,5,7,"Maison mitoyenne","","No","No, never","","No","Yes","Never or almost never","Never","Reduced-meat diet","","Professionnels de santé","","","","","","",2,"No","No","No","No","No","Yes","Yes","No","No",4,4,6.5,4.5,"Pays de la Loire Ville (entre 20 000 et 100 000 habitants)","2–4 years beyond secondary school","No",NA,"Medium exposure",0.637009702104561,0.259865303745848,-0.00485492289796063,-0.499944318610134,-0.429218520499199,-3.96427674186535,-2.27803844217001,-0.097981325069371,-1.16847041768239
"679","Woman","18 to 29",26,"Bac+3/4 (Licence, Maîtrise)","Employé(e), Agent de la fonction publique (catégorie C)","Salarié(e)","","CSP-","Ile-de-France","Val-de-Marne - (94)","Large city (>100 000 inhabitants)","Paris region","En couple","2 personnes","Le paludisme","La dengue","","","","","","","Faux","Oui, montrez-moi un exemple","B",8,"B",7,"A",7,"B",8,"A",7,"A",7,"A",7,"A",7,"B",6,"A",7,7,"A few times","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Utilisation de moustiquaires (sur les fenêtres)","","","","","","","","","Oui","Non","No or unsure",7,5,7,6,8,"Appartement","","Yes","No, never","No","No","No","Sometimes","Less than once a week","Omnivore","","Vos amis, voisins ou autres sources communautaires","","","","","","",2,"No","No","No","Yes","Yes","No","No","No","No",2,2,6,6.5,"Ile-de-France Grande ville (plus de 100 000 habitants)","2–4 years beyond secondary school","No",NA,"Medium exposure",-2.12213681609736,-1.42160863096169,-0.754319874939792,-1.44296039131306,0.210209277165143,0.657922027880919,1.1615039301902,-1.92174447622947,-1.36318827296639
"680","Man","60 to 69",63,"Bac (général, pro et technologique)","Retraité(e)","","","Inactifs","Normandie","Orne - (61)","Village (<2 000 inhabitants)","North West","En couple","2 personnes","La dengue","Le chikungunya","Le Zika","Le paludisme","","","","","Je ne sais pas","Non, allez directement aux 10 votes","B",7,"B",7,"B",7,"B",7,"A",7,"B",6,"B",6,"B",6,"A",5,"B",6,1,"A few times","Usage des répulsifs cutanés","Usage de bougies et/ou de spirales anti-moustiques","","","","","","","","","Non","Non","No or unsure",7,7,6,6,7,"Maison individuelle","","No","No, never","","No","No","Sometimes","Less than once a week","Omnivore","","Professionnels de santé","Votre propre recherche par internet","","","","","",2,"No","No","No","No","No","No","Yes","Yes","No",4,4,7,6,"Normandie Village / Zone rurale (moins de 2 000 habitants)","Equal to secondary school","No",NA,"Low exposure",-0.16967604204936,-1.11933420626287,-0.975529707897251,-0.191934837682225,0.113870082184717,0.00737405478198932,-0.0925452922757656,-1.61091486109739,-2.22751397219202
"681","Woman","60 to 69",64,"Bac+3/4 (Licence, Maîtrise)","Cadre ou profession libérale (cadre supérieur, cadre de direction, catégorie A de la fonction publique)","Salarié(e)","","CSP+","Normandie","Calvados - (14)","Large city (>100 000 inhabitants)","North West","En couple","2 personnes","Les moustiques transmettent des maladies, mais je ne les connais pas","","","","","","","","Vrai","Non, allez directement aux 10 votes","B",8,"A",2,"A",5,"A",6,"B",5,"B",3,"B",4,"B",6,"B",7,"A",4,1,"Never","","","","","","","","","","","","Non","No or unsure",5,5,3,1,5,"Maison individuelle","","Yes","No, never","","No","No","Never or almost never","Never","Omnivore","","Autre","","","","","","aucun",0,"No","No","No","No","No","No","No","No","No",0,0,5,2,"Normandie Grande ville (plus de 100 000 habitants)","2–4 years beyond secondary school","No",NA,"Low exposure",-0.0298386214831562,-0.26788208924471,-0.420383582245175,-0.938371217019336,-0.178132173182757,-1.71484167187417,-1.20928237243655,-0.233705493410753,-0.919178558699824
"682","Woman","60 to 69",63,"Bac (général, pro et technologique)","Retraité(e)","","","Inactifs","Ile-de-France","Yvelines - (78)","Small town (between 2.000 and 20.000 inhabitants)","Paris region","En famille","3 personnes","La dengue","Le paludisme","Le chikungunya","","","","","","Faux","Non, allez directement aux 10 votes","A",10,"A",6,"A",9,"B",8,"B",10,"B",8,"B",8,"B",9,"B",7,"B",9,1,"A few times","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","","","","","","","","","Non","No or unsure",9,8,7,7,5,"Appartement","","No","No, never","","Yes","No","Never or almost never","Never","Reduced-meat diet","","Les médias (journaux, magazines, télévision, radio)","Professionnels de santé","","","","","",1,"No","No","No","No","No","Yes","No","No","No",3,3,8.5,7,"Ile-de-France Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","Equal to secondary school","No",NA,"Medium exposure",0.646710662990626,0.261725678653386,-0.00719418556736965,-0.480550014262502,-0.424290460741578,-3.93849748162442,-2.27032379046958,-0.0935415299365799,-1.16960087043859
